"No.","Time","Source","Destination","Protocol","Length","Info"
"6976","2021-04-01 20:35:42.004151","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=14820 Ack=14819 Win=1002 Len=0 TSval=2213582563 TSecr=1126914588"
"6977","2021-04-01 20:35:46.316120","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"6978","2021-04-01 20:35:46.336561","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
"6979","2021-04-01 20:35:46.337044","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=14820 Ack=14819 Win=8292 Len=0 TSval=3493029438 TSecr=13059127"
"6980","2021-04-01 20:35:57.121016","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14819 Ack=14819 Win=1002 Len=0 TSval=2213597680 TSecr=1126914588"
"6981","2021-04-01 20:35:57.142734","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14819 Ack=14820 Win=120 Len=0 TSval=1126929727 TSecr=2213582563"
"6982","2021-04-01 20:36:01.472964","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14819 Ack=14819 Win=8292 Len=0 TSval=3493044574 TSecr=13059127"
"6983","2021-04-01 20:36:01.492211","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14819 Ack=14820 Win=425 Len=0 TSval=13074283 TSecr=3493029438"
"6984","2021-04-01 20:36:12.225019","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14819 Ack=14819 Win=1002 Len=0 TSval=2213612784 TSecr=1126929727"
"6985","2021-04-01 20:36:12.246780","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14819 Ack=14820 Win=120 Len=0 TSval=1126944831 TSecr=2213582563"
"6986","2021-04-01 20:36:16.576966","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14819 Ack=14819 Win=8292 Len=0 TSval=3493059678 TSecr=13074283"
"6987","2021-04-01 20:36:16.596175","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14819 Ack=14820 Win=425 Len=0 TSval=13089387 TSecr=3493029438"
"6988","2021-04-01 20:36:16.981152","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"6989","2021-04-01 20:36:17.003191","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"6990","2021-04-01 20:36:17.003638","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=14851 Ack=14850 Win=1002 Len=0 TSval=2213617563 TSecr=1126949588"
"6991","2021-04-01 20:36:21.316098","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"6992","2021-04-01 20:36:21.336290","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
"6993","2021-04-01 20:36:21.336760","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=14851 Ack=14850 Win=8292 Len=0 TSval=3493064438 TSecr=13094128"
"6994","2021-04-01 20:36:32.192943","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14850 Ack=14850 Win=1002 Len=0 TSval=2213632753 TSecr=1126949588"
"6995","2021-04-01 20:36:32.214924","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14850 Ack=14851 Win=120 Len=0 TSval=1126964800 TSecr=2213617563"
"6996","2021-04-01 20:36:36.544819","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14850 Ack=14850 Win=8292 Len=0 TSval=3493079647 TSecr=13094128"
"6997","2021-04-01 20:36:36.564071","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14850 Ack=14851 Win=425 Len=0 TSval=13109356 TSecr=3493064438"
"6998","2021-04-01 20:36:47.296690","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14850 Ack=14850 Win=1002 Len=0 TSval=2213647857 TSecr=1126964800"
"6999","2021-04-01 20:36:47.318691","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14850 Ack=14851 Win=120 Len=0 TSval=1126979904 TSecr=2213617563"
"7000","2021-04-01 20:36:51.648811","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14850 Ack=14850 Win=8292 Len=0 TSval=3493094751 TSecr=13109356"
"7001","2021-04-01 20:36:51.668143","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14850 Ack=14851 Win=425 Len=0 TSval=13124460 TSecr=3493064438"
"7002","2021-04-01 20:36:51.980914","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"7003","2021-04-01 20:36:52.003041","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"7004","2021-04-01 20:36:52.003498","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=14882 Ack=14881 Win=1002 Len=0 TSval=2213652564 TSecr=1126984588"
"7005","2021-04-01 20:36:56.315941","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"7006","2021-04-01 20:36:56.336267","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
"7007","2021-04-01 20:36:56.336675","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=14882 Ack=14881 Win=8292 Len=0 TSval=3493099439 TSecr=13129128"
"7008","2021-04-01 20:37:07.008753","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14881 Ack=14881 Win=1002 Len=0 TSval=2213667569 TSecr=1126984588"
"7009","2021-04-01 20:37:07.030587","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14881 Ack=14882 Win=120 Len=0 TSval=1126999616 TSecr=2213652564"
"7010","2021-04-01 20:37:11.360797","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14881 Ack=14881 Win=8292 Len=0 TSval=3493114463 TSecr=13129128"
"7011","2021-04-01 20:37:11.379947","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14881 Ack=14882 Win=425 Len=0 TSval=13144173 TSecr=3493099439"
"7012","2021-04-01 20:37:22.112815","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14881 Ack=14881 Win=1002 Len=0 TSval=2213682674 TSecr=1126999616"
"7013","2021-04-01 20:37:22.134749","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14881 Ack=14882 Win=120 Len=0 TSval=1127014720 TSecr=2213652564"
"7014","2021-04-01 20:37:26.464814","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14881 Ack=14881 Win=8292 Len=0 TSval=3493129568 TSecr=13144173"
"7015","2021-04-01 20:37:26.484427","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14881 Ack=14882 Win=425 Len=0 TSval=13159278 TSecr=3493099439"
"7016","2021-04-01 20:37:26.981041","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"7017","2021-04-01 20:37:27.003157","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"7018","2021-04-01 20:37:27.003662","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=14913 Ack=14912 Win=1002 Len=0 TSval=2213687565 TSecr=1127019588"
"7019","2021-04-01 20:37:31.315660","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"7020","2021-04-01 20:37:31.336499","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
"7021","2021-04-01 20:37:31.337020","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=14913 Ack=14912 Win=8292 Len=0 TSval=3493134440 TSecr=13164130"
"7022","2021-04-01 20:37:42.080759","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14912 Ack=14912 Win=1002 Len=0 TSval=2213702642 TSecr=1127019588"
"7023","2021-04-01 20:37:42.102652","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14912 Ack=14913 Win=120 Len=0 TSval=1127034688 TSecr=2213687565"
"7024","2021-04-01 20:37:46.432722","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14912 Ack=14912 Win=8292 Len=0 TSval=3493149536 TSecr=13164130"
"7025","2021-04-01 20:37:46.452182","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14912 Ack=14913 Win=425 Len=0 TSval=13179246 TSecr=3493134440"
"7026","2021-04-01 20:37:57.184666","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14912 Ack=14912 Win=1002 Len=0 TSval=2213717746 TSecr=1127034688"
"7027","2021-04-01 20:37:57.206404","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14912 Ack=14913 Win=120 Len=0 TSval=1127049792 TSecr=2213687565"
"7028","2021-04-01 20:38:01.536701","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14912 Ack=14912 Win=8292 Len=0 TSval=3493164640 TSecr=13179246"
"7029","2021-04-01 20:38:01.556079","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14912 Ack=14913 Win=425 Len=0 TSval=13194350 TSecr=3493134440"
"7030","2021-04-01 20:38:01.980916","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"7031","2021-04-01 20:38:02.003185","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"7032","2021-04-01 20:38:02.003650","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=14944 Ack=14943 Win=1002 Len=0 TSval=2213722565 TSecr=1127054588"
"7033","2021-04-01 20:38:06.315527","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"7034","2021-04-01 20:38:06.335591","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
"7035","2021-04-01 20:38:06.336105","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=14944 Ack=14943 Win=8292 Len=0 TSval=3493169440 TSecr=13199130"
"7036","2021-04-01 20:38:17.152657","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14943 Ack=14943 Win=1002 Len=0 TSval=2213737715 TSecr=1127054588"
"7037","2021-04-01 20:38:17.174587","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14943 Ack=14944 Win=120 Len=0 TSval=1127069760 TSecr=2213722565"
"7038","2021-04-01 20:38:21.504614","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14943 Ack=14943 Win=8292 Len=0 TSval=3493184609 TSecr=13199130"
"7039","2021-04-01 20:38:21.524108","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14943 Ack=14944 Win=425 Len=0 TSval=13214318 TSecr=3493169440"
"7040","2021-04-01 20:38:32.256656","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14943 Ack=14943 Win=1002 Len=0 TSval=2213752819 TSecr=1127069760"
"7041","2021-04-01 20:38:32.278321","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14943 Ack=14944 Win=120 Len=0 TSval=1127084864 TSecr=2213722565"
"7042","2021-04-01 20:38:36.608597","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14943 Ack=14943 Win=8292 Len=0 TSval=3493199713 TSecr=13214318"
"7043","2021-04-01 20:38:36.627635","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14943 Ack=14944 Win=425 Len=0 TSval=13229423 TSecr=3493169440"
"7044","2021-04-01 20:38:36.980796","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"7045","2021-04-01 20:38:37.002960","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"7046","2021-04-01 20:38:37.003408","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=14975 Ack=14974 Win=1002 Len=0 TSval=2213757566 TSecr=1127089589"
"7047","2021-04-01 20:38:41.315792","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"7048","2021-04-01 20:38:41.336172","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
